business_description,suggested_domain,category
"Paraphrased (HF): Richmond, Fischer and Chandler is a monitored scalable project business that specializes in counsel, firm services in Ryanville.",legalfirm.net,Legal Services
"Swapped: Richmond, Fischer and Chandler is a monitored scalable project business that specializes in counsel, legal services in Ryanville.",legalfirm.net,Legal Services
"Noised: Richmond, Fischer and Chandler is a monitored scalable project business that really specializes in counsel, firm services in Ryanville.",legalfirm.net,Legal Services
A Legal Services company offering counsel and law services in Metropolis.,legalfirm.net,Legal Services
"Paraphrased (HF): Suarez-Wiggins is a decentralized dedicated local area network business that specializes in give, community services in Donaldberg.",impactcommunity.com,Non-Profit Org
"Swapped: Suarez-Wiggins is a decentralized dedicated local area network business that specializes in give, care services in Donaldberg.",impactcommunity.com,Non-Profit Org
"Noised: Suarez-Wiggins is a decentralized totally dedicated local area network business that specializes in give, community services in Donaldberg.",impactcommunity.com,Non-Profit Org
A Non-Profit Org company offering give and care services in Metropolis.,impactcommunity.com,Non-Profit Org
"Paraphrased (HF): Perez PLC is a reduced fault-tolerant policy business that specializes in care, hope services in New Rachelville.",communitycare.com,Non-Profit Org
"Swapped: Perez PLC is a reduced fault-tolerant policy business that specializes in impact, hope services in New Rachelville.",communitycare.com,Non-Profit Org
"Noised: Perez PLC is a reduced fault-tolerant policy business that specializes absolutely in care, hope services in New Rachelville.",communitycare.com,Non-Profit Org
A Non-Profit Org company offering hope and community services in Metropolis.,communitycare.com,Non-Profit Org
"Paraphrased (HF): Meyer-Drake is a re-engineered scalable throughput business that specializes in green, sustain services in Brianfurt.",zeroeco.net,Sustainable Products
"Swapped: Meyer-Drake is a re-engineered scalable throughput business that specializes in zero, sustain services in Brianfurt.",zeroeco.net,Sustainable Products
"Noised: Meyer-Drake is a re-engineered scalable throughput really business that specializes in green, sustain services in Brianfurt.",zeroeco.net,Sustainable Products
A Sustainable Products company offering earth and green services in Metropolis.,zeroeco.net,Sustainable Products
